id,time,director,star,cost
4702,"1 hour, 41 minutes",Sam Wood,"Ginger Rogers, Jean-Pierre Aumont","Buy SD $4.99,"
4703, 93 minutes ,Ethan Coen,William H. Macy,$34.50 
4704,"2 hours, 0 minutes",Matt Williams,"Natalie Portman, Ashley Judd","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4705,"2 hours, 0 minutes",Masayuki Suo,"Kôji Yakusho, Tamiyo Kusakari","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $12.99,"
4706,"1 hour, 21 minutes",Charlie Vaughn,"Ronnie Kerr, Ian Roberts","Buy SD $14.99,"
4707,"1 hour, 4 minutes",Bill Pitt,"Bill Pitt,Paul Hughes","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
4708,"2 hours, 4 minutes",Richard LaGravenese,"Alden Ehrenreich, Alice Englert","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4709, 98 minutes ,Jon M. Chu,Robert Hoffman,$7.50 
4710, 112 minutes ,Peter Weir,Harrison Ford,$5.90 
4711,"2 hours, 20 minutes",Wayne Wang,"Kieu Chinh, Tsai Chin","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
4712,"1 hour, 32 minutes",Bruce Brown,"Michael Hynson, Robert August","Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4713, 124 minutes ,Oliver Parker,Laurence Fishburne,$17.99 
4714,"1 hour, 40 minutes",Jonathan Liebesman,"Sam Worthington, Liam Neeson","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4715,"1 hour, 35 minutes",Richard Friedman,"Bryan Burke, Diane Ladd","Buy SD $5.99,"
4716,"1 hour, 40 minutes",Burr Steers,"Zac Efron, Charlie Tahan","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4717,"1 hour, 37 minutes",Cary Joji Fukunaga,"Marco Antonio Aguirre, Leonardo Alonso","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4718, 107 minutes ,Steven Soderbergh,Marion Cotillard,$3.99 
4719,"1 hour, 15 minutes",Rebecca Zlotowski,"Léa Seydoux, Anaïs Demoustier","Buy SD $9.99,"
4720,"1 hour, 45 minutes",Scott Hicks,"Catherine Zeta-Jones, Aaron Eckhart","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4721,"1 hour, 19 minutes",Adam Neustadter,"Romain Bechetoille, Nicole Bernard II","Rent HD $2.99,Rent SD $1.99,Buy HD $5.99,Buy SD $4.99,"
4722,"1 hour, 35 minutes",Henri Charr,"Palmer Davis, Amir M. Korangy","Rent SD $3.99,Buy HD $10.99,Buy SD $9.99,"
4723,"1 hour, 30 minutes",Lou Antonio,"Brian Dennehy, Forrest Tucker","Buy SD $9.99,"
4724,"2 hours, 55 minutes",Ron Howard,"Tom Hanks, Audrey Tautou","Buy SD $9.99,"
4725,"2 hours, 2 minutes",Douglas McGrath,"Gwyneth Paltrow, James Cosmo","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
4726, 131 minutes ,Andrew Niccol,Ernest Borgnine,$6.84 
4727, 88 minutes ,Dito Montiel,Robin Williams,$10.98 
4728,"1 hour, 17 minutes",Christopher J. Boghosian,"Cassidy Brown, Chris Ivan Cevic","Rent HD $2.99,Rent SD $1.99,Buy HD $5.99,Buy SD $4.99,"
4729, 130 minutes ,Delmer Daves,Richard Egan,$8.39 
4730,"1 hour, 25 minutes",Joseph H. Lewis,"Cornel Wilde, Richard Conte","Buy SD $5.99,"
4731,"1 hour, 56 minutes",Matt Reeves,"Kodi Smit-McPhee, Chloë Grace Moretz","Rent HD $3.99,Rent SD $2.99,Buy HD $4.99,Buy SD $4.99,"
4732, 123 minutes ,Mimi Leder,Kevin Spacey,$8.91 
4733, 607 minutes ,Bryan Bertino,Tony Goldwyn,$9.95 
4734,"1 hour, 47 minutes",Phil Alden Robinson,"Kevin Costner, Amy Madigan","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4735, 255 minutes ,Various,Various,$7.99 
4736, 134 minutes ,Gary Ross,Tobey Maguire,$4.88 
4737,"1 hour, 19 minutes",Damon Russell,"Curtis Snow, Young Blo","Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
4738,"2 hours, 4 minutes",Garry Marshall,"Bette Midler, Barbara Hershey","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
4739, 137 minutes ,Jon Avnet,Kathy Bates,$12.98 
4740, 83 minutes ,Tobe Hooper,William Vail,$13.99 
4741,"1 hour, 34 minutes",Benh Zeitlin,"Quvenzhané Wallis, Dwight Henry","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4742, 139 minutes ,Wayne Wang,Ming-Na Wen,$4.99 
4743,"2 hours, 9 minutes",David Fincher,"Michael Douglas, Sean Penn","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4744, 99 minutes ,Joseph Ruben,Julia Roberts,$4.99 
4745,"3 hours, 0 minutes",Abdellatif Kechiche,"Léa Seydoux, Adèle Exarchopoulos","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $12.99,"
4746,"1 hour, 19 minutes",Kevin Morris,"Bobbi Holsman, David Holsman","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4747,"2 hours, 41 minutes",Nick Morris,"Ramin Karimloo, Sierra Boggess","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4748, 178 minutes ,Andrew Marton,John Wayne,$10.77 
4749,"1 hour, 33 minutes",Jason Reitman,"Joan Lunden, Eric Haberman","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4750, 120 minutes ,David Fincher,Jesse Eisenberg,$7.00 
4751, 118 minutes ,James Gartner,Josh Lucas,$5.00 
4752, 126 minutes ,Robert Redford,Matt Damon,$8.16 
4753, 133 minutes ,Edward Zwick,Brad Pitt,$5.00 
4754, 138 minutes ,Alan J. Pakula,Dustin Hoffman,$22.19 
4755, 127 minutes ,Baz Luhrmann,Nicole Kidman,$4.74 
4756, 123 minutes ,Neil Jordan,Tom Cruise,$5.00 
4757,"1 hour, 47 minutes",Seong-jung Kim,"Ji-Woo Choi, Seong-guk Choi","Buy SD $7.99,"
4758, 206 minutes ,Akira Kurosawa,Toshirô Mifune,$40.99 
4759,"1 hour, 50 minutes",Jon Turteltaub,"Nicolas Cage, Jay Baruchel","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
4760, 97 minutes ,Richard Fleischer,Charlton Heston,$9.39 
4761,"1 hour, 20 minutes",Santiago Otheguy,"Jorge Román, Daniel Valenzuela","Buy SD $9.99,"
4762,"2 hours, 4 minutes",Kenneth Branagh,"Robert De Niro, Kenneth Branagh","Buy HD $12.99,Buy SD $9.99,"
4763, 325 minutes ,Emily Neves,Leraldo Anzaldua,$66.58 
4764, 155 minutes ,William Wyler,Walter Pidgeon,$8.08 
4765, 116 minutes ,Sydney Pollack,Dustin Hoffman,$8.14 
4766, 110 minutes ,John Ford,John Wayne,$7.89 
4767, 100 minutes ,Lisa Gottlieb,Sherilyn Fenn,$6.59 
4768,"1 hour, 54 minutes",Jeff Wadlow,"Sean Faris, Amber Heard Depp","Rent SD $2.99,Buy SD $13.99,"
4769,"2 hours, 4 minutes",Oliver Parker,"Laurence Fishburne, Irène Jacob","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
4770,"2 hours, 29 minutes",Stanley Kubrick,"Keir Dullea, Gary Lockwood","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4771,"1 hour, 45 minutes",Richard Zelniker,"Luke Baines, Myko Olivier","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
4772,"1 hour, 38 minutes",Scott Z. Burns,"Paddy Considine, Oscar Isaac","Buy HD $9.99,Buy SD $7.99,"
4773, 118 minutes ,George Miller,Jack Nicholson,$4.99 
4774,"2 hours, 1 minute",Julian Jarrold,"Anne Hathaway, James McAvoy","Rent HD $3.99,Rent SD $2.99,Buy HD $8.99,Buy SD $6.99,"
4775, 108 minutes ,Elia Kazan,Marlon Brando,$10.25 
4776,"2 hours, 11 minutes",Jeff Nichols,"Matthew McConaughey, Reese Witherspoon","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $13.99,"
4777, 110 minutes ,Sam Peckinpah,Kris Kristofferson,$8.99 
4778, 134 minutes ,Franco Zeffirelli,Mel Gibson,$8.79 
4779,"1 hour, 21 minutes",Benedikt Erlingsson,"Ingvar Eggert Sigurðsson, Charlotte Bøving","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
4780,"1 hour, 45 minutes",Carol Reed,"Joseph Cotten, Alida Valli","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $12.99,"
4781,"1 hour, 54 minutes",Howard Hawks,"Humphrey Bogart, Lauren Bacall","Rent SD $2.99,Buy SD $9.99,"
4782,"2 hours, 0 minutes",Richard Eyre,"Alun Armstrong, Joe Armstrong","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4783, 120 minutes ,David S. Ward,Nick Nolte,$10.43 
4784, 150 minutes ,Roman Polanski,Adrien Brody,$9.61 
4785,"1 hour, 20 minutes",Sarah Lazarovic,"Alison Broverman, Mitchell F. Chan","Buy SD $9.99,"
4786,"2 hours, 25 minutes",Ron Howard,"Russell Crowe, Renée Zellweger","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4787, 121 minutes ,Cary Joji Fukunaga,Mia Wasikowska,$8.97 
4788, 180 minutes ,Dan Zeff,Jemima Rooper,$7.72 
4789,"2 hours, 5 minutes",John Chi,"Brett Rickaby, Amy Motta","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $12.99,"
4790, 107 minutes ,Jesse Hibbs,Audie Murphy,$10.19 
4791,"1 hour, 52 minutes",Diarmuid Lawrence,"Kate Beckinsale, Bernard Hepton",
4792, 126 minutes ,Stuart Rosenberg,Paul Newman,$14.39 
4793,"1 hour, 34 minutes",Jason Connery,"Wes Chatham, Devon Sawa","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4794,"1 hour, 15 minutes",Michael J. Saul,"Randy Bautista, Kirsten C. Brown","Buy SD $9.99,"
4795,"1 hour, 37 minutes",Kongkiat Khomsiri,"Arak Amornsupasiri, Sonthaya Chitmanee","Rent SD $1.99,Buy HD $12.99,Buy SD $9.99,"
4796,"1 hour, 58 minutes",McG,"Kevin Costner, Amber Heard","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $12.99,"
4797, 128 minutes ,Rich Christiano,Harry Anderson,$12.98 
4798, 98 minutes ,Yasuhiro Yoshiura,,$16.99 
4799, 143 minutes ,Robert Zemeckis,Viveka Davis,$6.43 
4800, 92 minutes ,John Waters,Johnny Depp,$6.62 
4801,"1 hour, 25 minutes",Howard Cummings,"William Converse-Roberts, Horton Foote Jr.",
4802,"1 hour, 27 minutes",Gil Cates Jr.,"Sean Astin,Chris Mulkey","Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $6.99,"
4803, 87 minutes ,Steve De Jarnatt,Anthony Edwards,$12.99 
4804,"1 hour, 28 minutes",Jaclyn Chessen,"Anya Prinz, Andrew Pedroza","Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
4805,"1 hour, 35 minutes",Joel Coen,"Nicolas Cage, Holly Hunter","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4806, 124 minutes ,Charlie Kaufman,Philip Seymour Hoffman,$5.99 
4807, 156 minutes ,Henry King,Jennifer Jones,$16.99 
4808, 94 minutes ,Baz Luhrmann,Paul Mercurio,$14.49 
4809, 121 minutes ,Gregory Nava,Jimmy Smits,$5.00 
4810,"1 hour, 31 minutes",Ferde Grofé Jr.,"Richard Egan, Martha Hyer","Buy SD $7.99,"
4811,"1 hour, 49 minutes",Dong-il Shin,"So-hee Hong, Mahbub Alam","Buy SD $9.99,"
4812,"1 hour, 50 minutes",Roger Donaldson,"Pierce Brosnan, Linda Hamilton","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4813, 119 minutes ,Isao Takahata,Jonathan Taylor Thomas,$21.99 
4814,"1 hour, 16 minutes",James Whale,"Boris Karloff, Colin Clive","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $7.99,"
4815,"1 hour, 52 minutes",Don Siegel,"Clint Eastwood, Patrick McGoohan","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
4816, 130 minutes ,Mick Jackson,Kevin Costner,$3.74 
4817,"2 hours, 15 minutes",Clint Eastwood,"Clint Eastwood, Meryl Streep","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
4818,"2 hours, 15 minutes",David Lynch,"Sheryl Lee, Ray Wise","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
4819, 124 minutes ,Richard LaGravenese,Viola Davis,$3.99 
4820, 107 minutes ,Charles Walters,Bing Crosby,$7.89 
4821, 230 minutes ,Vincent Ward,Robin Williams,$4.92 
4822, 102 minutes ,Noam Murro,Eva Green,$12.29 
4823, 100 minutes ,James Foley,Al Pacino,$6.96 
4824, 120 minutes ,Various,Various,$3.74 
4825, 136 minutes ,Michael Bay,Ewan McGregor,$5.99 
4826,27 minutes,Chandler Tuttle,"James Cosmo, Julie Hagerty","Buy SD $8.99,"
4827, 114 minutes ,Stanley Donen,Audrey Hepburn,$10.19 
4828,"1 hour, 25 minutes",Radley Metzger,"Claire Wilbur,Gerald Grant","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $8.99,"
4829, 114 minutes ,Vincent Ward,Robin Williams,$6.59 
4830, 136 minutes ,Taylor Hackford,Geraldine Page,$9.63 
4831, 121 minutes ,Francis Lawrence,Keanu Reeves,$4.99 
4832, 203 minutes ,Spike Lee,Denzel Washington,$4.99 
4833,"1 hour, 30 minutes",Jonathan Ullman,"Rayniel Rufino, Antonio Ortiz",
4834, 88 minutes ,Orson Welles,Rita Hayworth,$7.49 
4835, 100 minutes ,Peter Chelsom,Kieran Culkin,$12.94 
4836, 130 minutes ,Alfred Hitchcock,Laurence Olivier,$18.88 
4837, 140 minutes ,Frank Pierson,Barbra Streisand,$23.99 
4838,"1 hour, 33 minutes",J. Rick Castaneda,"Dwayne Bartholomew, Kristina Guerrero","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4839,"1 hour, 39 minutes",Catherine Hardwicke,"Nikki Reed, Evan Rachel Wood","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4840,"1 hour, 51 minutes",Peter Jackson,"Michael J. Fox, Trini Alvarado","Rent SD $2.99,Buy HD $7.99,Buy SD $7.99,"
4841, 165 minutes ,William Wyler,Gregory Peck,$6.59 
4842,10 minutes,Josh Boone,"Shailene Woodley, Ansel Elgort","Buy SD Free,"
4843, 126 minutes ,Luis Mandoki,Andy Garcia,$4.83 
4844,"2 hours, 5 minutes",Alberto Negrin,"Luca Zingaretti, Jérôme Anger",
4845, 108 minutes ,Joel Schumacher,Emilio Estevez,$6.90 
4846,"1 hour, 17 minutes",Robert Taylor,"Skip Hinnant, Reva Rose","Buy SD $9.99,"
4847,"1 hour, 34 minutes",Ol Parker,"Piper Perabo, Lena Headey","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
4848, 114 minutes ,Forest Whitaker,Sandra Bullock,$8.97 
4849,"1 hour, 38 minutes",William Dieterle,"Charlton Heston, Lizabeth Scott","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
4850,"1 hour, 31 minutes",Lance Daly,"Orlando Bloom, Riley Keough","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
4851,"1 hour, 25 minutes",Brian Vance,"Erik Estrada, Richard Dutcher","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $5.99,"
4852,"1 hour, 44 minutes",Everett Lewis,"Josh Beren, Bryce Blais","Buy SD $9.99,"
4853,"1 hour, 59 minutes",John Ford,"John Wayne, Jeffrey Hunter","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4854,"2 hours, 5 minutes",Hugh Hudson,"Nicholas Farrell, Nigel Havers","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4855, 284 minutes ,John Hughes,Molly Ringwald,$19.99 
4856, 92 minutes ,Bruce Pittman,Louis Gossett Jr.,$3.99 
4857,"1 hour, 29 minutes",Ricky Blitt,"Stephanie Szostak, Jon Cryer","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
4858,"1 hour, 46 minutes",Bruce Beresford,"Tommy Lee Jones, Ashley Judd","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
4859,"2 hours, 9 minutes",Wolfgang Petersen,"Dustin Hoffman, Rene Russo","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
4860, 126 minutes ,Spike Jonze,Joaquin Phoenix,$8.99 
4861, 104 minutes ,Penny Marshall,Tom Hanks,$12.96 
4862, 96 minutes ,Robert Martin Carroll,David Carradine,$24.29 
4863, 116 minutes ,Vincente Minnelli,Leslie Caron,$8.31 
4864, 126 minutes ,Richard LaGravenese,Hilary Swank,$3.99 
4865,"1 hour, 36 minutes",Jeanne Labrune,"Isabelle Huppert, Bouli Lanners","Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4866, 1 minutes ,Michael Patrick King,Sarah Jessica Parker,$4.59 
4867,"2 hours, 1 minute",Francis Lawrence,"Reese Witherspoon, Robert Pattinson","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4868, 110 minutes ,Joel Coen,Jeff Bridges,$3.74 
4869,"1 hour, 55 minutes",Rik Swartzwelder,"Elizabeth Roberts, Rik Swartzwelder","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
4870,"1 hour, 22 minutes",Ulli Lommel,"Cassandra Church, Jack Quinn","Buy SD $8.99,"
4871,"1 hour, 29 minutes",Phillip Marshak,"Cameron Mitchell, Marc Lawrence","Buy SD $9.99,"
4872, 126 minutes ,Gus Van Sant,Sean Connery,$5.89 
4873, 107 minutes ,Jon Chu,Sharni Vinson,$9.96 
4874,"1 hour, 34 minutes",Gaby Dellal,"Ameko Eks Mass Carroll, Thomas Dekker","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4875,"2 hours, 22 minutes",Clive Donner,"Anthony Andrews, Jane Seymour",
4876,"2 hours, 12 minutes",Jon Turteltaub,"Nicolas Cage, Diane Kruger","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
4877, 96 minutes ,David Leo Schultz,Michael Koch,$12.45 
4878,"2 hours, 0 minutes",Michael Moore,"Michael Moore, Salvador Allende","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4879,"1 hour, 25 minutes",Camilla Sullivan,"Adam Sussman, Harvey Pitt","Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
4880,"2 hours, 9 minutes",Martin Scorsese,"Robert De Niro, Nick Nolte","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4881,"2 hours, 1 minute",Gi-hoon Jeong,"Soo Go, Hyo-ju Han","Rent SD $1.99,Buy HD $12.99,Buy SD $9.99,"
4882, 124 minutes ,Andrzej Zulawski,Isabelle Adjani,
4883,"1 hour, 31 minutes",Jimmy Chin,"Conrad Anker,Jimmy Chin","Pre-order HD $14.99,Pre-order SD $12.99,"
4884, 92 minutes ,Chris Noonan,Renée Zellweger,$6.18 
4885,"2 hours, 3 minutes",Robert Luketic,"Jim Sturgess, Kevin Spacey","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4886,"2 hours, 19 minutes",Terrence Malick,"Brad Pitt, Sean Penn","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $12.99,"
4887,"2 hours, 35 minutes",Ridley Scott,"Russell Crowe, Joaquin Phoenix","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
4888,"1 hour, 29 minutes",Aleksandra Strelyanaya,"Yana Esipovich, Oleg Garkusha","Rent SD $2.99,Buy HD $10.99,Buy SD $7.99,"
4889,"1 hour, 39 minutes",Josef Steiff,"Grace McPhillips,Nancy Sellers","Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $12.99,"
4890,"2 hours, 17 minutes",Stanley Kubrick,"Malcolm McDowell, Patrick Magee","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4891, 542 minutes ,Lewis Milestone,Errol Flynn,$11.99 
4892, 126 minutes ,Michael Curtiz,James Cagney,$13.99 
4893, 466 minutes ,Martin Scorsese,Ray Liotta,$12.96 
4894,"1 hour, 38 minutes",Dominique Deruddere,"Jamie Dornan, Anthony Head","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4895,"1 hour, 30 minutes",Mark Penney,"Shaun Benson, Eliane Gagnon","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $6.99,"
4896, 106 minutes ,Various,Various,$11.00 
4897, 104 minutes ,Luis Valdez,Elizabeth Pena,$5.00 
4898,"2 hours, 18 minutes",Steven Spielberg,"Richard Dreyfuss, François Truffaut","Rent HD $3.99,Rent SD $2.99,Buy HD $11.99,Buy SD $9.99,"
4899,"1 hour, 52 minutes",John Hillcoat,"Viggo Mortensen, Kodi Smit-McPhee","Buy HD $12.99,Buy SD $9.99,"
4900, 111 minutes ,Tyler Perry,Jurnee Smollett-Bell,$5.11 
4901,"1 hour, 24 minutes",Charles Oliver,"Minnie Driver, Jeremy Renner","Rent HD $3.99,Rent SD $2.99,Buy HD $10.99,Buy SD $7.99,"
4902, 1500 minutes ,Werner Herzog,Klaus Kinski,$101.19 
4903, 138 minutes ,Florian Henckel von Donnersmarck,Martina Gedeck,$14.00 
4904, 117 minutes ,Franco Zeffirelli,Maggie Smith,$6.53 
4905, 123 minutes ,Julie Taymor,Salma Hayek,$6.25 
4906, 194 minutes ,Ridley Scott,Orlando Bloom,$9.99 
4907, 190 minutes ,Lawrence Kasdan,Kevin Costner,$3.74 
4908, 251 minutes ,Joseph L. Mankiewicz,Elizabeth Taylor,$7.99 
4909,"2 hours, 8 minutes",Gary Fleder,"John Cusack, Gene Hackman","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4910, 128 minutes ,Ken Russell,Rudolf Nureyev,$26.96 
4911, 144 minutes ,Martin Campbell,Daniel Craig,$26.84 
4912,"2 hours, 48 minutes",Robert De Niro,"Matt Damon, Angelina Jolie","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4913, 98 minutes ,Ethan Coen,William H. Macy,$14.28 
4914, 95 minutes ,James Watkins,Daniel Radcliffe,$9.97 
4915,"2 hours, 16 minutes",Clint Eastwood,"Clint Eastwood, Chief Dan George","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4916,"1 hour, 37 minutes",Woody Allen,"Rebecca Hall, Scarlett Johansson","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4917,"1 hour, 55 minutes",Francis Ford Coppola,"C. Thomas Howell, Matt Dillon","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
4918,13 minutes,Chris Foggin,"Judi Dench, Tom Hiddleston","Buy HD $2.99,Buy SD $1.99,"
4919,"2 hours, 10 minutes",Wolfgang Petersen,"George Clooney, Mark Wahlberg","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
4920, 102 minutes ,Sofia Coppola,Bill Murray,$9.49 
4921,"1 hour, 55 minutes",Diane English,"Meg Ryan, Annette Bening","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4922,"1 hour, 48 minutes",Adrienne Shelly,"Keri Russell, Nathan Fillion","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4923, 138 minutes ,Peter Weir,Russell Crowe,$11.96 
4924,"1 hour, 31 minutes",Kristin Hanggi,"Victoria Justice,Pierson Fodé","Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $9.99,"
4925, 107 minutes ,Robert Duvall,Robert Duvall,$9.99 
4926, 208 minutes ,Otto Preminger,Paul Newman,$26.95 
4927,"1 hour, 30 minutes",Ignacio Ferreras,"Tacho González, Álvaro Guevara","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4928, 172 minutes ,Various,Various,$9.76 
4929, 88 minutes ,Sean Baker,Kitana Kiki Rodriguez,$22.99 
4930, 111 minutes ,Olivier Megaton,Zoe Saldana,$6.96 
4931,"1 hour, 53 minutes",Gavin Millar,"Jeroen Krabbé, Barbara Hershey","Rent SD $2.99,Buy SD $9.99,"
4932,"2 hours, 18 minutes",Curtis Hanson,"Kevin Spacey, Russell Crowe","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $13.99,"
4933,"2 hours, 16 minutes",Mike Church,"Madison Church, Mike Church","Buy SD $9.99,"
4934, 132 minutes ,Barbra Streisand,Barbra Streisand,$26.99 
4935,"1 hour, 45 minutes",Henry Chan,"Akira Chen, Tracy Chou","Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
4936,"1 hour, 31 minutes",Lewis Allen,"Alan Ladd, Phyllis Calvert","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
4937, 102 minutes ,Robert Luketic,Jennifer Lopez,$4.89 
4938, 103 minutes ,Nat Faxon,Steve Carell,$8.15 
4939,"1 hour, 27 minutes",Patrick Barry,"Jesse Gay, Erin Cline","Rent HD $2.99,Rent SD $1.99,Buy HD $7.99,Buy SD $4.99,"
4940, 153 minutes ,Francis Ford Coppola,Martin Sheen,$5.00 
4941,"2 hours, 20 minutes",Anthony Minghella,"Matt Damon, Gwyneth Paltrow","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
4942,"1 hour, 29 minutes",Seth Gordon,"Vince Vaughn, Reese Witherspoon","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4943,"1 hour, 53 minutes",Neill Blomkamp,"Sharlto Copley, Jason Cope","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4944, 280 minutes ,John Hughes,Molly Ringwald,$14.98 
4945, 154 minutes ,Anthony Minghella,Jude Law,$6.59 
4946,"1 hour, 36 minutes",Arthur Allan Seidelman,"Nancy McKeon, Valerie Harper","Buy SD $9.99,"
4947, 137 minutes ,Various,Various,$3.74 
4948,"1 hour, 46 minutes",Pete Travis,"William Hurt, Chiwetel Ejiofor","Rent SD $3.99,Buy HD $10.99,Buy SD $9.99,"
4949,"2 hours, 5 minutes",Ron Howard,"Steve Martin, Mary Steenburgen","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
